canonical_material_name,total_rashod_tn,source_group_codes,source_pdfs
Полиэтилен-HD 80520 FE,313.875,253-0110,сканирование1968 (1).pdf
Полиэтилен-HD 10500 FE,157.5,253-0050,сканирование1968 (1).pdf
Полипропилен-гранулиров. (РР Н030),83.775,277-0008,сканирование1622 (1).pdf
Полипропилен-SIBEX PP R401 IM/5,83.15,253-0089-001,сканирование1968 (1).pdf
Полиэтилен-LL 30200 FE,70.35,253-0071,сканирование1968 (1).pdf
Полиэтилен-LL 09200 FE,66.75,253-0065,сканирование1968 (1).pdf
Полиэтилен-HD 85612 IM,64.6,253-0094,сканирование1968 (1).pdf
Полиэтилен-HD 12443 FE,58.375,253-0104-001,сканирование1968 (1).pdf
Полипропилен-PP H030 GP/3,57.45,277-0076-001 + 253-0026,сканирование1622 (1).pdf + сканирование1968 (1).pdf
Полиэтилен-HD 03580 SB,54.8,253-0080,сканирование1968 (1).pdf
ПВД-10803-020 ВС,40.1,277-0045-000 + 253-0019,сканирование1622 (1).pdf + сканирование1968 (1).pdf
Полипропилен-PP I013 GP/5,33.725,253-0092,сканирование1968 (1).pdf
Полипропилен-PP H030 GP/6,31.625,253-0114,сканирование1968 (1).pdf
ПВД-15813-020 вс,24.625,253-0040-002,сканирование1968 (1).pdf
Полиэтилен-PE HD A,22.5,277-0055-001,сканирование1622 (1).pdf
Полиэтилен-HD 18520 IM,22,253-0120,сканирование1968 (1).pdf
Полипропилен-SIBEX PP H270 FF/3,21,253-0037,сканирование1968 (1).pdf
ПВД-15803-020 вс,18.325,277-0007-001,сканирование1622 (1).pdf
Полипропилен-гранулиров. (РР Н550),15,277-0089-001,сканирование1622 (1).pdf
Полиэтилен-LL 0920 TR/5,10.85,277-0054-001,сканирование1622 (1).pdf
Полипропилен-PP H350 GP/2,4.275,253-0103-001,сканирование1968 (1).pdf
Полиэтилен-HD 12500 LB,2.75,253-0077-001,сканирование1968 (1).pdf
Полипропилен-PP H450 GP/1,0.7,253-0118,сканирование1968 (1).pdf
Полипропилен-SIBEX PP H350 FF/3,0.525,253-0051,сканирование1968 (1).pdf
ПВД-15303-003 вс,0.5,253-0073-002,сканирование1968 (1).pdf
