товар;вес;сумма
НЕРАСПОЗНАННЫЕ ПОЗИЦИИ ИЗ PDF;196.2;
Полиэтилен-HD 10500 FE;157.5;
Полипропилен-гранулиров. (РР Н030);83.775;
Полипропилен-SIBEX PP R401 IM/5;83.15;
Полиэтилен-LL 30200 FE;70.35;
Полиэтилен-LL 09200 FE;66.75;
Полиэтилен-HD 85612 IM;64.6;
Полиэтилен-HD 12443 FE;58.375;
Полипропилен-PP H030 GP/3;57.45;
Полиэтилен-HD 03580 SB;54.8;
Полиэтилен-HD 80520 FE;44;
ПВД-10803-020 ВС;40.1;
Полипропилен-PP I013 GP/5;33.725;
Полипропилен PPH 030 GP/6? (группа Омск, код уточнить);31.625;
ПВД-15813-020 вс;24.625;
Полиэтилен-PE HD A;22.5;
Полиэтилен-HD 18520 IM;22;
Полипропилен-SIBEX PP H270 FF/3;21;
Полиэтилен 15803-020 (1мх25кг) Уфа ПАЛЛЕТЫ 2скл.;18.325;
Полипропилен-гранулиров. (РР Н550);15;
Полиэтилен-LL 0920 TR/5;10.85;
Полипропилен-PP H350 GP/2;4.275;
Полиэтилен-HD 12500 LB;2.75;
Полипропилен-PP H450 GP/1;0.7;
Полипропилен-SIBEX PP H350 FF/3;0.525;
ПВД-15303-003 вс;0.5;
ИТОГО;1185.45;
